EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"ROCHESTER, NY",9/2/16,9/2/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"GRAND RAPIDS, MI",9/20/16,9/20/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LAS VEGAS, NV",9/30/14,9/30/14,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CORVALLIS, OR",10/13/14,10/13/14,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"ROCHESTER, NY",10/30/14,10/30/14,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BELLEVUE, WA",11/7/14,11/7/14,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PAINTED POST, NY",11/12/14,11/12/14,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PAINTED POST, NY",11/12/14,11/12/14,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BELLEVUE, WA",11/19/14,11/20/14,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"IRVINE, CA",12/9/14,12/10/14,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PAINTED POST, NY",12/9/14,12/10/14,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BOTHELL, WA",12/2/14,12/2/14,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"HOLLAND, MI",12/9/14,12/9/14,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PAINTED POST, NY",12/9/14,12/9/14,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",12/19/14,6/19/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PAINTED POST, NY",12/22/14,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"SYRACUSE, NY",12/22/14,6/18/15,WITHDRAWN
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FORT LAUDERDALE, FL",12/22/14,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"JACKSONVILLE, FL",12/23/14,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"SYRACUSE, NY",12/26/14,6/18/15,WITHDRAWN
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"SYRACUSE, NY",12/31/14,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"SYRACUSE, NY",1/4/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"SYRACUSE, NY",1/4/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"JACKSONVILLE, FL",1/5/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MOUNT LAUREL, NJ",1/6/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"HOLLAND, MI",1/7/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"GREENVILLE, SC",1/7/15,6/18/15,CERTIFIED
